,Unnamed: 0,feature_name,Latitude,Longitude
64,64,Royal Botanic Gardens,-37.8306631583233,144.980850432751
65,65,Yarra Park,-37.820469374101,144.986671109615
66,66,Icehouse,-37.8121881194053,144.935684018873
67,67,Parliament Railway Station,-37.8127621113552,144.973433796529
68,68,Parliament Railway Station,-37.8095762219384,144.972330132127
69,69,Melbourne Central Railway Station,-37.8097759325888,144.962670059539
70,70,Flemington Racecourse Railway Station,-37.7869105822519,144.908190706069
71,71,Darling Square,-37.81299206932,144.989062559512
72,72,Parliament Reserve,-37.809852620638,144.973462202839
73,73,North Melbourne Recreation Centre (Aquatic),-37.7999470049655,144.943290801869
74,74,North Melbourne Recreation Centre (Gymnasium),-37.7997051197931,144.940368286395
75,75,Carlton Baths,-37.7934377042609,144.971696548624
76,76,Conservatory,-37.814002127195,144.9785597431
77,77,Melbourne Visitor Centre,-37.8177352402006,144.967937138226
78,78,Victoria Police,-37.8164849024046,144.966486801188
79,79,Melbourne Visitor Booth,-37.8139525061193,144.964425882562
80,80,State Netball Hockey Centre,-37.7857860016289,144.947580972027
81,81,University Square,-37.800410711209,144.960398319302
82,82,Powlett Reserve,-37.8116929882498,144.987275671763
83,83,Melbourne General Cemetery,-37.7891890023616,144.965785979892
84,84,Southern Cross Railway Station,-37.8181633057171,144.952944748845
85,85,State Library Victoria,-37.8099852201226,144.964330322397
86,86,Supreme Court,-37.8141494182814,144.957894024264
87,87,Richmond Football Club,-37.8216740022008,144.988156318781
88,88,Melbourne Zoo,-37.7844449253712,144.951371205938
89,89,Melbourne International Shooting Club,-37.8292844929826,144.913415802464
90,90,Docklands Park,-37.8209956785618,144.946781702342
91,91,Point Park,-37.8233522700646,144.942102276731
92,92,Melbourne Theatre Company,-37.823930384816,144.968297429894
93,93,Alexandra Gardens,-37.8206051404251,144.971796067365
94,94,Parliament Railway Station,-37.8116061787171,144.973017263156
95,95,Richmond Railway Station (Richmond) - Train stop,-37.8238992659834,144.989400751664
96,96,Jolimont-MCG Railway Station (East Melbourne) - Train stop,-37.8165651811668,144.983641003377
97,97,North Melbourne Recreation Reserve,-37.7988345257153,144.941452061463
98,98,Princes Park,-37.7870161727156,144.961115214367
99,99,Shrine of Remembrance,-37.8302080020387,144.973441913623
100,100,Parliament Railway Station,-37.8121572789173,144.973742010011
101,101,Showgrounds Railway Station (Flemington),-37.7834651216244,144.914902626775
102,102,Newmarket Railway Station,-37.7872726241965,144.929059958114
103,103,Melbourne Showgrounds,-37.7823097850883,144.910822117306
104,104,Melbourne Central Railway Station,-37.8100167030855,144.963789344893
105,105,Argyle Square,-37.8031480577285,144.965761295089
106,106,Piazza Italia,-37.8025164192523,144.965863092947
107,107,Murchinson Square,-37.8002735025371,144.973059252203
108,108,Westpac Centre,-37.8242456858593,144.979720306309
109,109,Webb Bridge,-37.8232052384507,144.947291011905
110,110,Kardinia Park Stadium,-38.1576773240316,144.35458716931657
111,111,Werribee Park,-37.92986681887846,144.6711389848513
