,Unnamed: 0,Name,Latitude,Longitude
217,217,Uni Hill Town Centre,-37.68247053,145.0710002
218,218,Tarneit Park Hub (BYO Type 2),-37.833989,144.69899
219,219,Secure Parking (Southern Cross),-37.812452,144.969535
220,220,RACV Head Office (Service Centre Car Park),-37.952893,145.180067
221,221,Mossman Gorge Centre,-16.4742541,145.3483542
222,222,Docklands,-37.81254895,144.939394
223,223,Prahran Square,-37.847695,144.99266
224,224,Schnapper Point Dr Parking/Charging,-38.215455,145.035453
225,225,Botanic Ridge Village,-38.150115,145.290458
226,226,Yarraville,-37.81899541,144.8964976
227,227,Downie St,-37.82020302,144.9555652
228,228,Solargain Hastings,-38.314125,145.184157
229,229,Priority One Trade Services,-38.231677,145.056367
230,230,"Footscray town hall, Maribyrnong city council",-37.804868,144.900362
231,231,Geelong Supercharger,-38.065192,144.382451
232,232,Marlborough,-22.82764427,149.9327796
233,233,Bayside City Council,-37.95950238,145.0169255
234,234,Brooklands of Mornington,-38.221655,145.045807
235,235,Club Armstrong,-38.225341,144.328361
236,236,Altona Gate Shopping Centre,-37.827587,144.848241
237,237,Clifftop Accommodation Phillip Island,-38.504564,145.259653
238,238,Kinglake Reserve (beside public toilets),-37.53009,145.340696
239,239,Griffith,-17.9347544,145.9253729
240,240,Pullman Melbourne on the Park,-37.815994,144.983228
241,241,Queens Road,-37.84977063,144.9784513
242,242,Porsche Centre Brighton,-37.92549673,145.0278825
243,243,(No Longer In Use) DHL Melbourne Gateway,-37.684086,144.863519
244,244,WaterMarc Car Park,-37.704042,145.10525
245,245,Southbank,-37.81609341,144.9584272
246,246,Eastland Shopping Centre,-37.81425,145.229003
247,247,Tully,-17.93486278,145.9244323
248,248,Coburg Town Hall / Moreland City,-37.74058156,144.9694655
249,249,BP Northpoint,-37.648097,144.994195
250,250,Ampol Foodary Altona North (Coming Soon),-37.84667,144.809201
251,251,Frosty Mango,-18.949778,146.2768679
252,252,Bayside Entertainment Centre,-38.140408,145.125184
253,253,RACV Torquay Resort,-38.34035,144.310815
254,254,Ramada Resort by Wyndham Phillip Island,-38.471698,145.242237
255,255,Evie Charging Station,-36.90919906,144.2670216
256,256,QESH The Pier Cairns,-16.9198193,145.7805076
257,257,Parliament PI,-37.8110789,144.9764385
258,258,Ivanhoe Gardens (Coming Soon),-37.754954,145.054043
259,259,Cairns Central,-16.9245893,145.7716095
260,260,Carmila,-21.90865281,149.4090921
261,261,Collingwood Library,-37.80425886,144.9932374
262,262,Ivanhoe Library,-37.766356,145.044964
263,263,Red Rooster Vermont,-37.83192,145.213897
