id,properties.amenity,properties.brand,properties.description,properties.opening_hours,properties.short_name,geometry.type,geometry.coordinates,properties.capacity,properties.addr:city,properties.addr:country,properties.addr:postcode,properties.addr:state,properties.location,socket_types
node/9228911986,charging_station,Bell Resources,Australian Electric Vehicle Charging & Clean Energy Company,Mo-Fr 09:00-17:00,,Point,"[151.2119085, -33.8648195]",,,,2000,NSW,,
node/9234402081,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[152.1029637, -26.8857922]",,,,,,,
node/9247816817,charging_station,,,,,Point,"[115.8164108, -31.977504]",2,,,,,,
node/9255078725,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[152.9007826, -31.4071902]",,,,,,,
node/9273513112,charging_station,Tesla Supercharger,"- 6 cables supplied by Tesla, with the standard CCS/SAE plug, with a max output of 250 kW  - 6 × 250kW Superchargers CCS2 only Enter via Karrinyup Road, follow signs for Fresh Market/Valet. Enter basement, take first Right. Chargers at end of aisle on Rig",,Tesla,Point,"[115.7766534, -31.8771547]",6,,,,,,
node/9273513113,charging_station,Tesla Supercharger,Eaton Supercharger,,Tesla,Point,"[115.717695, -33.3196098]",6,,,,,,6
node/9277136375,charging_station,,"Type2, non networked, 2 plugs. BYO Type 2 cable.
4h Parking. See plugshare for instructions",,,Point,"[115.7671672, -31.7426]",2,,,,,,
node/9277136376,charging_station,,"Lakeside Joondalup - Myer Carpark, Type 2, non networked, 2 plugs. BYO Type 2 cable.

4h parking.

The bays are on the ground floor of the multi storey car park, area “C”, close to the entrance to the shops.

See plugshare for instructions.",,,Point,"[115.7656665, -31.7454229]",2,,,,,,
node/9278715200,charging_station,,,,,Point,"[148.3878551, -30.9527945]",,,,,,,
node/9278741544,charging_station,,,,,Point,"[148.1177704, -30.0207154]",,,,,,,
node/9278772628,charging_station,,,,,Point,"[142.6092866, -37.1955356]",2,,,,,,
node/9287553131,charging_station,,"Murray Bridge Visitor Centre, Circontrol Type 2 AC dual socket. 22kW per socket. Free charging until further notice",,,Point,"[139.276204, -35.120385]",4,,,,,,4
node/9290610873,charging_station,,Richmond Tavistock No. 3,,,Point,"[151.0644363, -33.8660864]",1,,,,,,1
node/9290676154,charging_station,,ANZAC Wise,,,Point,"[151.2396953, -33.9435652]",,,,,,,
node/9290676155,charging_station,,Goodwood St,,,Point,"[151.2241142, -33.9071444]",1,,,,,,
node/9290790988,charging_station,,,,,Point,"[151.1716659, -33.9080986]",4,,,,,,
node/9291799180,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[142.5192858, -38.381323]",,,,,,,
node/9295253802,charging_station,,,,,Point,"[144.3181255, -38.2159676]",,,,,,,
node/9309912420,charging_station,,,,,Point,"[150.8754276, -33.7054584]",,,,,,,
node/9314985309,charging_station,Tesla Supercharger,Horsham Darlot St Supercharger,,Tesla,Point,"[142.1964354, -36.7158552]",3,,,,,,
node/9323036820,charging_station,,,,,Point,"[145.1159422, -38.0547644]",2,,,,,,1
node/9331261766,charging_station,,,,,Point,"[138.5042702, -34.8437992]",2,,,,,,
node/9344898113,charging_station,,,,,Point,"[141.4595159, -31.9596719]",,,,,,,
node/9347175037,charging_station,,,,,Point,"[151.1692687, -33.8135004]",,,,,,,
node/9354339800,charging_station,,,,,Point,"[150.8040539, -33.9532239]",,,,,,,
node/9363608762,charging_station,,,,,Point,"[151.0301289, -33.9320564]",,,,,,,
node/9366472089,charging_station,,,,,Point,"[149.0300976, -34.9692613]",2,,,,,,
node/9366873533,charging_station,,Chargefox Shell Cove,,,Point,"[150.8661667, -34.5878761]",,,,,,,
node/9377947870,charging_station,chargefox,Light Square Charging Station,,,Point,"[138.5944471, -34.9255431]",2,,,,,,2
node/9377956590,charging_station,Tesla,Barunga West Council,,,Point,"[137.9317912, -33.5998723]",,,,,,,
node/9377957708,charging_station,Chargefox,,,,Point,"[138.4863165, -34.8252197]",,,,,,,2
node/9377978026,charging_station,Chargefox,,,,Point,"[138.5952833, -34.9277554]",2,,,,,,2
node/9377978027,charging_station,Chargefox,,,,Point,"[138.5952236, -34.9277543]",2,,,,,,2
node/9377982881,charging_station,,Grosvenor Gardens charger,,,Point,"[138.6219659, -35.5536727]",,,,,,,
node/9377983050,charging_station,,,,,Point,"[138.6010902, -34.9617279]",2,,,,,,2
node/9377999297,charging_station,"Tesla, Inc.",,,Tesla,Point,"[138.4630733, -35.3913107]",1,,,,,,
node/9378018013,charging_station,,Yankalilla Council Chambers,,,Point,"[138.3507389, -35.4570334]",,,,,,,
node/9378951502,charging_station,Jetcharge,,24/7,,Point,"[151.2681007, -33.871695]",2,,,,,,22 kW
node/9380626727,charging_station,"Tesla, Inc.",Minlaton Charging Station,,Tesla,Point,"[137.5974941, -34.7678388]",1,,,,,,1
node/9380642063,charging_station,"Tesla, Inc.",Ardrossan Charging Station,,Tesla,Point,"[137.9167075, -34.4225942]",1,,,,,,1
node/9404724469,charging_station,,,,,Point,"[151.099324, -33.8872485]",,,,,,,
node/9408923628,charging_station,,,,,Point,"[150.8530426, -33.7848221]",,,,,,,
node/9408929771,charging_station,,,,,Point,"[150.8557293, -33.9522711]",2,,,,,,
node/9413056471,charging_station,RAC,,,,Point,"[115.7212028, -32.5276992]",2,,,,,,
node/9426539670,charging_station,,Caiguna Roadhouse,,,Point,"[125.4872676, -32.2708341]",,,,,,,
node/9426555291,charging_station,,,,,Point,"[144.9933258, -37.8043969]",,,,,,,
node/9467315676,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[151.0734395, -34.0338237]",6,,,,,,
node/9470340169,charging_station,,,,,Point,"[143.3857829, -31.5575066]",,,,,,,
node/9480216684,charging_station,,,,,Point,"[138.5496608, -35.0173769]",1,,,,,,
node/9481080902,charging_station,,,,,Point,"[151.2141725, -33.7620853]",1,,,,,,
node/9491233549,charging_station,,,24/7,,Point,"[151.2869932, -33.7537328]",1,,,,,,1
node/9491293057,charging_station,,,,,Point,"[151.8401359, -26.5400752]",,,,,,,1
node/9514983917,charging_station,,,24/7,,Point,"[150.7291974, -33.7698741]",2,,,,,,yes
node/9521361334,charging_station,Tesla Destination Charger,,08:00-17:00,,Point,"[151.2241781, -33.6892385]",2,,,,,,
node/9533110008,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[115.076035, -33.9511802]",3,,,,,,
node/9536966801,charging_station,,,,,Point,"[151.1206646, -33.7780797]",,,,,,,
node/9546004749,charging_station,,,24/7,,Point,"[151.283873, -33.7789889]",1,,,,,,1
node/9563743390,charging_station,,,,,Point,"[120.0441758, -33.5816984]",,,,,,,
node/9576559983,charging_station,Veefil,,,,Point,"[117.5557427, -33.691452]",,,,,,,
node/9603490031,charging_station,,,,,Point,"[151.063567, -33.9621828]",1,,,,,,
node/9607930796,charging_station,,,,,Point,"[115.9703353, -32.522369]",1,,,,,,yes
node/9610280217,charging_station,,,,,Point,"[138.573198, -34.9060068]",1,,,,,,
node/9610280317,charging_station,,,,,Point,"[138.5728037, -34.905922]",1,,,,,,
node/9619986125,charging_station,"Tesla, Inc",,24/7,,Point,"[148.6817349, -33.8354773]",2,,,,,,
node/9653279214,charging_station,,,,,Point,"[151.116168, -33.8695391]",1,,,,,,
node/9672846122,charging_station,,,,,Point,"[151.1096799, -33.8947565]",1,,,,,,
node/9679133660,charging_station,,,,,Point,"[144.5997596, -37.7151996]",2,,,,,,
node/9682654068,charging_station,,Harvey Parking Lot,,,Point,"[115.8968022, -33.0792151]",2,,,,,,"1, 1"
node/9682737335,charging_station,,,,,Point,"[115.7469427, -32.0584849]",4,,,,,,no
node/9682737336,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[115.7461221, -32.0575795]",2,,,,,,
node/9682737337,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[115.7472283, -32.0573845]",,,,,,,
node/9704345344,charging_station,,,,,Point,"[138.6415665, -34.9420624]",2,,,,,,
node/9704706490,charging_station,,,24/7,,Point,"[151.3037838, -33.6760959]",1,,,,,,1
node/9710289580,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[136.5725086, -33.9167278]",,,,,,,
node/9712759905,charging_station,,,,,Point,"[145.8376295, -31.4988063]",,,,,,,
node/9712774534,charging_station,,,,,Point,"[150.6737814, -33.7702608]",4,,,,,,
node/9712993934,charging_station,,,,,Point,"[141.6495675, -36.3328407]",,,,,,,1
node/9737993455,charging_station,,,,,Point,"[151.1710728, -33.9079872]",2,,,,,,
node/9738285222,charging_station,,,,,Point,"[151.1019416, -33.873882]",1,,,,,,
node/9738634914,charging_station,,,,,Point,"[144.7370438, -38.3385411]",,,,,,,2
node/9750631071,charging_station,,,,,Point,"[144.9148371, -37.6163187]",,,,,,,
node/9765677232,charging_station,,,,,Point,"[150.2251818, -34.6071777]",,,,,,,4
node/9765719405,charging_station,,,,,Point,"[152.9489592, -27.5338615]",4,,,,,,
node/9771012966,charging_station,,NRMA Tritium,,,Point,"[145.9348827, -30.0884156]",2,,,,,,
node/9771012967,charging_station,,NRMA Tritium,,,Point,"[146.8577827, -29.9607798]",2,,,,,,
node/9786977964,charging_station,,,,,Point,"[150.7957656, -34.4952775]",,,,,,,
node/9787101923,charging_station,ChargePoint,,,,Point,"[153.2608045, -27.7844523]",,,,,,,
node/9791477376,charging_station,,,,,Point,"[144.9942276, -37.6478848]",,,,,,,2
node/9797555741,charging_station,,,,,Point,"[145.237506, -37.9213954]",2,,,,,,2
node/9829541757,charging_station,,"Eat Street Northshore, 1 Tesla Connector, up to 22kW.
Available to the public. Self park.",,,Point,"[153.0819323, -27.444063]",1,,,,,,
node/9835982929,charging_station,,,Mo-Tu off; We-Su 10:00-16:00,,Point,"[146.7458333, -42.1244723]",1,,,,,,1
node/9837441201,charging_station,,EHT - Ouse,,,Point,"[146.7100895, -42.4850213]",,,,,,,1
node/9837441203,charging_station,,,24/7,,Point,"[147.2424695, -43.3218733]",1,,,7150,TAS,,1
node/9837441206,charging_station,Electric Highway Tasmania,,24/7,,Point,"[147.9681769, -41.6380862]",1,,,7214,TAS,,"1, 1"
node/9837441207,charging_station,,,,,Point,"[147.371219, -42.2989031]",2,,,,,,
node/9843352654,charging_station,,BYO cables,,,Point,"[147.4269258, -42.8874253]",,,,,,,
node/9852170665,charging_station,,,,,Point,"[145.2139634, -37.8319262]",,,,,,,2
node/9863000835,charging_station,,,,,Point,"[151.0954277, -33.8720579]",1,,,,,,
node/9863034303,charging_station,,,,,Point,"[150.90026, -33.9488297]",2,,,,,,2
node/9864969279,charging_station,"Tesla, Inc.","P2 blue, 4 destination chargers",,Tesla,Point,"[151.2644147, -33.7666354]",4,,,,,,
node/9880056998,charging_station,Charging the Regions,,,,Point,"[146.6747212, -38.5644471]",,,,,,,1
node/9880389305,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[134.7584779, -29.022055]",,,,,,,
node/9898771270,charging_station,,,,,Point,"[151.1999188, -33.9021318]",2,,,,,,
node/9900811626,charging_station,,Wall PowerPoint in twenty two north. Was made available to hotel guests on request.,,,Point,"[152.5136654, -32.1790682]",,,,,,,
node/9916436896,charging_station,,,,,Point,"[151.2088608, -33.8093255]",2,,,,,,
node/9930952737,charging_station,,,,,Point,"[145.023233, -37.7637113]",2,,,,,,2
node/9930952738,charging_station,,,,,Point,"[145.023185, -37.7637061]",2,,,,,,2
node/9930952741,charging_station,,,,,Point,"[145.0231298, -37.7637001]",2,,,,,,2
node/9932826382,charging_station,,,,,Point,"[149.1869737, -35.2954975]",,,,,,,
node/9932826383,charging_station,,,,,Point,"[149.1869976, -35.2955106]",,,,,,,
node/9932826384,charging_station,,,,,Point,"[149.1870115, -35.2954938]",,,,,,,
node/9932826385,charging_station,,,,,Point,"[149.1869915, -35.2954811]",,,,,,,
node/9939260096,charging_station,,,,,Point,"[153.0644501, -26.4004166]",,,,,,,
node/9953777925,charging_station,,,,,Point,"[151.081218, -33.9492389]",,,,,,,
node/9958152708,charging_station,,Rhodes Central,,,Point,"[151.0860347, -33.8300902]",2,,,,,,
node/9960709498,charging_station,,,,,Point,"[153.0108529, -27.3420061]",2,,,,,,
node/9965036281,charging_station,,,,,Point,"[150.9946067, -33.787764]",,,,,,,1
node/9987263214,charging_station,"Tesla, Inc.",,,Tesla,Point,"[148.9128433, -34.84184]",2,,,,,,
node/9996192046,charging_station,,,,,Point,"[151.0801412, -33.9701906]",1,,,,,,
node/10007469304,charging_station,,Marina Square,,,Point,"[151.0790514, -33.8256295]",3,,,,,,3
node/10007505419,charging_station,"Tesla, Inc.",Castle Towers,,Tesla,Point,"[151.0065082, -33.7296798]",3,,,,,,3
node/10007612223,charging_station,,,,,Point,"[144.915179, -37.7726024]",,,,,,,
node/10010196224,charging_station,Jetcharge,,,,Point,"[145.1227188, -38.1438691]",2,,,,,,2
node/10011175454,charging_station,,,,,Point,"[153.0483802, -28.8659126]",,,,,,,
node/10026076729,charging_station,,,,,Point,"[150.173894, -35.7096667]",2,,,,,,2
node/10035347983,charging_station,,,,,Point,"[151.2128688, -33.7036198]",,,,,,,2
node/10042338532,charging_station,,,,,Point,"[143.934527, -37.5647424]",4,,,,,,2
node/10048386532,charging_station,,,,,Point,"[147.1969608, -31.5643351]",,,,,,,
node/10048907994,charging_station,Tesla Supercharger,,,Tesla,Point,"[140.8026216, -37.8347592]",,,,,,,
node/10048914044,charging_station,,,,,Point,"[146.8386193, -36.3138529]",,,,,,,1
node/10050161556,charging_station,,Rhodes Waterside,Mo-Su 06:00-00:00,,Point,"[151.0848349, -33.8359626]",4,,,,,,4
node/10060883781,charging_station,,,,,Point,"[145.1918955, -38.3082563]",,,,,,,1
node/10062824393,charging_station,Charging the Regions,,,,Point,"[148.4559951, -37.7057324]",,,,,,,1
node/10091269880,charging_station,,,,,Point,"[151.1060452, -33.9678598]",1,,,,,,
node/10091269881,charging_station,,,,,Point,"[151.0710625, -33.948437]",1,,,,,,
