type,id,properties.@id,properties.amenity,properties.area,properties.brand,properties.brand:wikidata,properties.description,properties.opening_hours,properties.short_name,properties.socket:tesla_supercharger,properties.website,geometry.type,geometry.coordinates,properties.capacity,properties.name,properties.operator,properties.operator:wikidata,properties.access,properties.fee,properties.bicycle,properties.motor_vehicle,properties.socket:type2,properties.socket:type2:output,properties.source,properties.addr:housenumber,properties.addr:street,properties.addr:suburb,properties.socket:type1_combo:output,properties.brand:wikipedia,properties.operator:wikipedia,properties.socket:type1,properties.socket:tesla,properties.socket:tesla_supercharger:output,properties.socket:tesla_supercharger_ccs,properties.socket:tesla_supercharger_ccs:output,properties.addr:city,properties.addr:country,properties.addr:postcode,properties.addr:state,properties.location,properties.addr:unit,properties.authentication:app,properties.authentication:nfc,properties.socket:chademo,properties.socket:chademo:output,properties.socket:type2_combo,properties.socket:type2_combo:output,properties.motorcar,properties.note,properties.parking:fee,properties.ref:ocm,properties.socket:type1:output,properties.scooter,properties.access:note,properties.alt_name,properties.authentication:none,properties.output,properties.charging_station:output,properties.charge,properties.network,properties.temporary:access,properties.covered,properties.level,properties.source:operator,properties.payment:app,properties.fixme,properties.ref,properties.socket:tesla_destination,properties.socket:tesla_standard,properties.socket:tesla_standard:output,properties.authentication:membership_card,properties.maxstay,properties.socket:tesla_destination:output,properties.payment,properties.voltage,properties.payment:credit_cards,properties.manufacturer,properties.operator:website,properties.socket:type2_cable,properties.no:network,properties.payment:contactless,properties.socket:type1_combo,properties.bus,properties.hgv,properties.payment:none,properties.motorcycle,properties.amperage,properties.payment:free,properties.not:brand:wikidata,properties.phone:AU,properties.addr:floor,properties.addr:housename,properties.office,properties.phone,properties.start_date,properties.wikidata,properties.survey:date,properties.payment:via_tesla_app,properties.socket:type2:power,properties.socket:j1772,properties.socket:type2:current,properties.socket:type2:voltage,properties.payment:tap_to_pay,properties.socket:type2_cable:current,properties.socket:type2_cable:output,properties.socket:type2_cable:voltage,properties.parking,properties.payment:via_app,properties.socket:wall,properties.url,properties.network:wikidata,properties.socket,properties.indoor,properties.branch,properties.payment:cash,properties.payment:coins,properties.payment:mastercard,properties.payment:visa,properties.check_date,properties.construction,properties.payment:debit_cards,properties.ele,properties.payment:cards,properties.payment:membership_card,properties.payment:qr_code,properties.not:operator:wikidata,properties.socket:unknown,properties.payment:apple_pay,properties.man_made,properties.socket:ccs:output
Feature,node/7110814863,node/7110814863,charging_station,,"Tesla, Inc.",Q478214,"Tesla Only, 22kw destination charger",,Tesla,,,Point,"[142.9339235, -37.2833721]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7125090552,node/7125090552,charging_station,,Evie Networks,,Evie Networks Campbell Town,24/7,,,https://www.goevie.com.au,Point,"[147.4945273, -41.9293446]",2,,Evie Networks,Q105795220,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,2,100 kW,2,350 kW,yes,,,,,,,,,,,,Evie Networks,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7135828901,node/7135828901,charging_station,,,,,,,,,Point,"[153.0412292, -27.4921779]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7140188595,node/7140188595,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,,Tesla,4,,Point,"[153.2391675, -29.427045]",4,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7145645463,node/7145645463,charging_station,,"Tesla, Inc.",Q478214,Tesla Destination Charger,,Tesla,,,Point,"[134.7543104, -29.0106618]",1,Tesla Destination Charger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7149039454,node/7149039454,charging_station,,,,,,,,,Point,"[144.9614795, -37.7189925]",1,,Chargefox,Q105775824,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7185843792,node/7185843792,charging_station,,Tesla Supercharger,Q17089620,Adelaide Supercharger,,Tesla,,,Point,"[138.5952395, -34.9276045]",4,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,"en:Tesla, Inc.","en:Tesla, Inc.",,,120 kW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7221406917,node/7221406917,charging_station,,Chargefox,,,,,,,Point,"[138.6048811, -34.9244]",2,,Chargefox,Q105775824,,yes,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7236246800,node/7236246800,charging_station,,"Tesla, Inc.",Q478214,Macquarie Point Charging Station,,Tesla,,,Point,"[147.3370559, -42.8807344]",3,Tesla Destination Charger,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,OCM-125885,,,,,,,,,,,,,,,,,1,,,,,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7237598406,node/7237598406,charging_station,,,,,,,,,Point,"[150.8452155, -33.7708416]",,,Chargefox,Q105775824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7244697466,node/7244697466,charging_station,,,,NRMA Fast Charger,,,,,Point,"[146.9148011, -36.0837898]",,,NRMA,Q6955173,,,,,,,,,,,,,en:NRMA,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7249211887,node/7249211887,charging_station,,,,,,,,,Point,"[140.3615633, -36.1050786]",,,Chargefox,Q105775824,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7270664150,node/7270664150,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,,Tesla,8,,Point,"[151.1207792, -33.7781529]",,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,"en:Tesla, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7370307097,node/7370307097,charging_station,,,,,,,,,Point,"[143.8623024, -37.5613256]",,,Chargefox,Q105775824,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7370327570,node/7370327570,charging_station,,,,Dan Murphy's Charging Station,,,,,Point,"[150.1774602, -35.7098969]",1,,Evie Networks,Q105795220,,no,,,,,,,,,,,,,,,,,,,,,,,yes,,,,2,50 kW,,,,,,,,,,,50 kW,,Evie Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7371168765,node/7371168765,charging_station,,Tesla Supercharger,Q17089620,,,Tesla,4,,Point,"[152.6612476, -26.1881513]",4,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,,,,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7375482623,node/7375482623,charging_station,,,,NRMA Fast Charger,,,,,Point,"[151.2946203, -32.7742468]",,,NRMA,Q6955173,,,,,,,,,,,,,en:NRMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7384135909,node/7384135909,charging_station,,,,NRMA Fast Charger,,,,,Point,"[149.2791803, -31.2787465]",,,NRMA,Q6955173,,,,,,,,,,,,,en:NRMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7401170459,node/7401170459,charging_station,,,,,,,,,Point,"[151.2464722, -33.9306373]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7416508372,node/7416508372,charging_station,,,,,,,,,Point,"[144.9244765, -37.8244076]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7416508373,node/7416508373,charging_station,,,,,,,,,Point,"[144.9244672, -37.8243839]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7416508374,node/7416508374,charging_station,,,,,,,,,Point,"[144.9244629, -37.8243625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7476003934,node/7476003934,charging_station,,,,Stockland Forster,,,,,Point,"[152.5199677, -32.1997712]",,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16A,,,,,,,,,,,,,,,,,contactless,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7478006036,node/7478006036,charging_station,,,,Evie Networks,,,,https://goevie.com.au/,Point,"[147.7361254, -35.2771687]",2,,Evie Networks,Q105795220,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7500495489,node/7500495489,charging_station,,,,,,,,,Point,"[144.9789845, -37.7719979]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7512650865,node/7512650865,charging_station,,,,NRMA Fast Charger,24/7,,,,Point,"[150.610947, -34.1683025]",1,,NRMA,Q6955173,,no,,,,,,,,,,,,,,,,,,,,,,,,,1,50 kW,1,50 kW,,,,,,,,,yes,50 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7612243561,node/7612243561,charging_station,,,,Evie Networks,,,,https://goevie.com.au/,Point,"[145.2398046, -36.9074894]",2,,Evie Networks,Q105795220,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7612252206,node/7612252206,charging_station,,,,Evie Taree,,,,https://goevie.com.au/,Point,"[152.4706099, -31.9433485]",2,,Evie Networks,Q105795220,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,2,100 kW,2,350 kW,,,no,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7644755936,node/7644755936,charging_station,,,,Mood Food New Norfolk,24/7,,,,Point,"[147.0611487, -42.7791986]",,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,1.00 AU/kWh,NextCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7672020234,node/7672020234,charging_station,,Evie Networks,,,,,,,Point,"[146.8284661, -19.3194992]",2,,Evie Networks,Q105795220,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,1,350,1,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7742159359,node/7742159359,charging_station,,,,NRMA Fast Charger,,,,,Point,"[143.5644882, -34.6396148]",,,NRMA,Q6955173,,,,,,,,,,,,,en:NRMA,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7745584029,node/7745584029,charging_station,,,,,,,,,Point,"[152.9036312, -27.6766678]",4,,,,yes,no,,,,11 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,add socket type counts. Are they all type 2's?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7769026737,node/7769026737,charging_station,,,,,,,,,Point,"[139.2770491, -35.1205066]",2,,Chargefox,Q105775824,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2,50,2,350,,,,,,,,,,,,0.40 Aud per kWh,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7811188174,node/7811188174,charging_station,,,,,24/7,,,,Point,"[146.2290933, -42.1356399]",1,,Electric Highway Tasmania,Q105834331,yes,yes,,,1,22 kW,,,,Derwent Bridge,,,,,,,,,,,,,,,,,1,50 kW,1,50 kW,yes,,,,,,,,,,,0.25 AU/kWh,Chargefox,,,,,,,,,,,,,,,,,Tritium,https://www.electrichighwaytasmania.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7814409569,node/7814409569,charging_station,,Electric Highway Tasmania,,,24/7,,,,Point,"[145.5554413, -42.0788206]",1,,Electric Highway Tasmania,Q105834331,yes,yes,,,1,22 kW,,,Driffield Street,Queenstown,,,,,,,,,,,7467,TAS,,,,,1,50 kW,1,50 kW,yes,,,,,,,,,,,0.25 AU/kWh,Chargefox,,,,,,,4108,,,,,,,,,,Tritium,https://www.electrichighwaytasmania.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7816558586,node/7816558586,charging_station,,,,NRMA Fast Charger,,,,https://www.mynrma.com.au/cars-and-driving/electric-vehicles/charging-network,Point,"[148.9124032, -34.8412265]",2,,NRMA,Q6955173,yes,no,,,,50 kW,,,,,,,en:NRMA,,,,,,,,,,,,,,2,50 kW,,,,,no,,,,,,,,100 kW,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7818245016,node/7818245016,charging_station,,,,,,,,,Point,"[145.1400183, -37.9208333]",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7842335713,node/7842335713,charging_station,,,,,,,,,Point,"[149.5813787, -33.4257824]",2,,EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7853763889,node/7853763889,charging_station,,,,Majura Park Destination Charger,,,,,Point,"[149.190361, -35.2998964]",1,,,,yes,no,,,1,7 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7853779128,node/7853779128,charging_station,,,,ActewAGL Civic Rapid Charger,,,,,Point,"[149.1283604, -35.279627]",1,,Evie Networks,Q105795220,,yes,,,,,,,,,,,,,,,,,,,,,,,,,1,50 kW,1,50 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7853799488,node/7853799488,charging_station,,,,Secure Parking EV Chargers,,,,,Point,"[149.1354521, -35.2801903]",4,,,,,no,,,4,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7853821459,node/7853821459,charging_station,,NRMA,,Sovereign Place NRMA Fast Charger,,,,,Point,"[152.8274176, -31.4581377]",2,,NRMA,Q6955173,,no,,,,,,,,,,,en:NRMA,,,,,,,,,,,,,,2,50 kW,2,50 kW,,,no,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7858748739,node/7858748739,charging_station,,,,SG Fleet Fyshwick,Mo-Su 06:00-20:00,,,,Point,"[149.165535, -35.3224367]",1,,Chargefox,Q105775824,,no,,,,,,,,,,,,,,,,,,,,,,,yes,,1,25 kW,1,25 kW,,,no,,,,,,,25 kW,,,Chargefox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7862093042,node/7862093042,charging_station,,,,,,,,,Point,"[151.2762714, -33.8908025]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7882866714,node/7882866714,charging_station,,,,,,,,,Point,"[146.6510431, -41.5236168]",1,,Meander Valley Council,,yes,no,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7885621574,node/7885621574,charging_station,,,,,24/7,,,,Point,"[147.3322907, -42.8814091]",1,,City of Hobart,Q1621560,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,1,50 kW,1,50 kW,yes,,yes,OCM-167436,,,,,,,,,,,,,,,,,,,,,,,,,,Tritium,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7908350351,node/7908350351,charging_station,,,,,Mo-Su 09:00-17:00,,,,Point,"[146.7164989, -42.6817118]",1,,Mt Field Visitor Centre,,customers,no,,,1,22 kW,,,,National Park,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7916500373,node/7916500373,charging_station,,,,,24/7,,,,Point,"[147.0474304, -43.0312044]",1,,Huon Valley Council,,yes,no,,,1,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7932870081,node/7932870081,charging_station,,,,NRMA Fast Charger,,,,,Point,"[147.3735986, -35.1083685]",2,,NRMA,Q6955173,,,,,,,,,,,,,en:NRMA,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7935846174,node/7935846174,charging_station,,,,,,,,,Point,"[118.4624195, -33.1006924]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7951263438,node/7951263438,charging_station,,,,,24/7,,,,Point,"[146.9268457, -43.163457]",1,,Huon Valley Council,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,1,50 kW,1,50 kW,yes,,,,,,,,,,,,Chargefox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7956430892,node/7956430892,charging_station,,,,Evie Networks,,,,https://goevie.com.au/,Point,"[153.0500396, -26.6628606]",,,Evie Networks,Q105795220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7959130026,node/7959130026,charging_station,,,,NRMA Fast Charger,,,,,Point,"[150.8663635, -32.0506093]",,,NRMA,Q6955173,,,,,,,,,,,,,en:NRMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7961393123,node/7961393123,charging_station,,,,Evie Networks Fast Charger,,,,https://goevie.com.au/,Point,"[139.4404743, -35.2401819]",,,Evie Networks,Q105795220,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7987569797,node/7987569797,charging_station,,,,Lorne Visitor Information Centre,,,,,Point,"[143.9742629, -38.5366421]",1,,,,yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8021537952,node/8021537952,charging_station,,,,,24/7,,,,Point,"[147.3333345, -42.8818357]",1,,TasPorts,,yes,no,,,1,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8021537953,node/8021537953,charging_station,,,,,24/7,,,,Point,"[147.3354788, -42.8816834]",1,,TasPorts,,yes,no,,,1,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8023428147,node/8023428147,charging_station,,,,,,,,https://goevie.com.au/,Point,"[153.077346, -27.4157668]",4,,Evie Networks,Q105795220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8028020165,node/8028020165,charging_station,,,,,,,,,Point,"[142.201977, -36.7111262]",8,,Chargefox,Q105775824,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,4,350 kW,4,350 kW,,,,,,,,,,,,0.60 AUD/kWh,,,,,,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8041302706,node/8041302706,charging_station,,Electric Highway Tasmania,,,24/7,,,,Point,"[145.90733, -41.0498769]",1,,Electric Highway Tasmania,Q105834331,yes,yes,,,1,22 kW,,,,,,,,,,,,,,,,,,,,,1,50 kW,1,50 kW,,,,,,,,,,,,0.25 AU/kWh,,,,,,,,,,,,,,,,,,Tritium,https://www.electrichighwaytasmania.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8095263593,node/8095263593,charging_station,,,,Treendale Shopping Centre,,,,,Point,"[115.7417543, -33.2831945]",2,,Chargefox,Q105775824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8122913262,node/8122913262,charging_station,,Yurika,,QESH - Rockhampton,,,,,Point,"[150.5132751, -23.3821063]",2,,Yurika,Q106234391,,,,,2,22,,,,,,,,,,,,,,,,,,,yes,yes,1,50,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8122913263,node/8122913263,charging_station,,,,,,,,,Point,"[150.5222122, -23.3558309]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8133502030,node/8133502030,charging_station,,,,NRMA Fast Charger,,,,,Point,"[151.6696956, -30.5119326]",1,,NRMA,Q6955173,,,,,,,,,,,,,en:NRMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
