amenity,operator,geometry,capacity,addr:city,addr:housenumber,addr:street,location,brand,socket_type
charging_station,,POINT (147.9849476 -37.8810561),5.288250652741515,,,,,"Tesla, Inc.",Unknown
charging_station,Chargefox,POINT (115.8489479 -31.9480278),5.288250652741515,,,,,,Unknown
charging_station,Audi,POINT (147.324019 -42.8753548),1.0,,,,,,Type 2 Combo
charging_station,EVolution,POINT (145.2402838 -38.4513659),2.0,,,,,,Unknown
charging_station,Evie Networks,POINT (145.2237568 -37.9713319),5.288250652741515,,,,,,Type 2 Combo
charging_station,Evie Networks,POINT (147.2511179 -42.7006711),2.0,,,,,Evie Networks,Type 2 Combo
charging_station,Tasmanian Parks & Wildlife,POINT (145.9366036 -41.5824743),1.0,,,,,,Type 2
charging_station,Evie Networks,POINT (152.919807 -30.7101732),4.0,,,,,,Type 2 Combo
charging_station,Central Victorian Greenhouse Alliance,POINT (143.8676039 -36.575759),2.0,,,,,Charging the Regions,Type 2 Combo
charging_station,Tesla,POINT (145.2402851 -38.4513302),2.0,,,,,"Tesla, Inc.",Unknown
charging_station,"Tesla, Inc.",POINT (145.056178 -37.8292531),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Yurika,POINT (152.5626944 -25.9943406),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (151.9531256 -24.9897146),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (151.5605055 -24.327605),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (150.9800673 -23.8108708),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (149.9325 -22.8280493),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (149.4106209 -21.9085589),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (149.1850897 -21.1393216),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (148.5815516 -20.402497),2.0,,,,,Yurika,Type 2
