id,lat,lon,tags
5758577851,-36.2231879,150.1284524,"{'amenity': 'charging_station', 'brand': 'Tesla Supercharger', 'brand:wikidata': 'Q17089620', 'brand:wikipedia': 'en:Tesla Supercharger', 'description': 'Tesla Supercharger', 'name': 'Tesla Supercharger', 'operator': 'Tesla, Inc.', 'operator:wikidata': 'Q478214', 'short_name': 'Tesla', 'socket:tesla_supercharger': '4', 'socket:tesla_supercharger:output': '120 kW'}"
5865178390,-33.8682863,151.2063604,"{'amenity': 'charging_station', 'bicycle': 'yes', 'fee': 'no', 'motorcar': 'no', 'scooter': 'no'}"
5879749471,-37.7714237,144.9619656,"{'access': 'yes', 'amenity': 'charging_station', 'fee': 'no', 'operator': 'Merri-bek City Council', 'website': 'https://merri-bek.vic.gov.au/exploring-merri-bek/transport/Driving-In-merri-bek/'}"
5985113586,-35.2942578,149.1902551,"{'access': 'restricted to tesla only', 'amenity': 'charging_station', 'brand': 'Tesla Supercharger', 'brand:wikidata': 'Q17089620', 'brand:wikipedia': 'en:Tesla, Inc.', 'capacity': '6', 'description': 'Canberra Supercharger', 'fee': 'yes', 'name': 'Tesla Supercharger', 'opening_hours': '24/7', 'operator': 'Tesla, Inc.', 'operator:wikidata': 'Q478214', 'operator:wikipedia': 'en:Tesla, Inc.', 'short_name': 'Tesla', 'socket:tesla_supercharger': '6', 'socket:tesla_supercharger:output': '120 kW', 'socket:tesla_supercharger_ccs': '6', 'socket:tesla_supercharger_ccs:output': '120 kW'}"
6012351152,-36.743036,145.5909893,"{'addr:city': 'Euroa', 'addr:country': 'AU', 'addr:postcode': '3666', 'addr:state': 'VIC', 'amenity': 'charging_station', 'capacity': '4', 'description': 'Chargefox', 'name': 'RACV', 'opening_hours': '24/7', 'operator': 'Chargefox', 'operator:wikidata': 'Q105775824', 'socket:chademo': '4', 'socket:type2_combo': '4'}"
6110132412,-35.7874472,137.7714998,"{'amenity': 'charging_station', 'capacity': '1'}"
6165583448,-34.4500909,150.4424531,"{'addr:country': 'AU', 'addr:housenumber': 'NSW', 'addr:postcode': '2575', 'addr:street': 'Bessemer Street', 'addr:suburb': 'Mittagong', 'alt_name': 'NRMA Fast Charger', 'amenity': 'charging_station', 'authentication:none': 'yes', 'capacity': '1', 'description': 'NRMA Fast Charger', 'fee': 'no', 'operator': 'NRMA', 'operator:wikidata': 'Q6955173', 'output': '50 kW', 'socket:chademo': '1', 'socket:chademo:output': '50 kW', 'socket:type2_combo': '1', 'socket:type2_combo:output': '50 kW', 'website': 'https://www.mynrma.com.au/community/initiatives/electric-vehicle-fast-charging-network'}"
6165583449,-34.4501399,150.4519627,"{'addr:country': 'AU', 'addr:postcode': '2575', 'addr:state': 'NSW', 'addr:street': 'Main Street', 'addr:suburb': 'Mittagong', 'amenity': 'charging_station', 'brand': 'ChargePoint', 'brand:wikidata': 'Q5176149', 'capacity': '1', 'description': 'Mittagong Tourist Information Centre', 'operator': 'ChargePoint', 'operator:wikidata': 'Q5176149'}"
6217636780,-36.0739678,146.7267687,"{'access': 'yes', 'amenity': 'charging_station', 'capacity': '8', 'description': 'Chargefox', 'operator': 'Chargefox', 'operator:wikidata': 'Q105775824', 'socket:chademo': '4', 'socket:type2_combo': '4'}"
6294718962,-37.4438844,143.8905143,"{'amenity': 'charging_station', 'capacity': '2', 'description': 'J-1772', 'fee': 'no', 'operator': 'RACV', 'socket:type1': '1'}"
