id,lat,lon,amenity,opening_hours,brand,brand:wikidata,name,operator,operator:wikidata,brand:wikipedia,operator:wikipedia,socket:type1,access,capacity,fee,socket:tesla,socket:type2,addr:housenumber,addr:street,description,short_name,socket:tesla_supercharger,socket:tesla_supercharger:output,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,addr:city,addr:country,addr:postcode,addr:state,source,location,website,authentication:app,authentication:nfc,socket:chademo,socket:chademo:output,socket:type2:output,socket:type2_combo,socket:type2_combo:output,motorcar,note,parking:fee,ref:ocm,socket:type1:output,bicycle,scooter,addr:suburb,alt_name,authentication:none,output,charging_station:output,charge,network,temporary:access,covered,level,source:operator,payment:app,fixme,ref,socket:tesla_destination,socket:tesla_standard,socket:tesla_standard:output,authentication:membership_card,maxstay,socket:tesla_destination:output,payment,voltage,payment:credit_cards,socket:chademo:power,socket:type2_combo:power,manufacturer,operator:website,socket:type2_cable,no:network,payment:contactless,socket:type1_combo,socket:type1_combo:output,bus,hgv,payment:none,motorcycle,amperage,payment:free,not:brand:wikidata,phone:AU,addr:unit,addr:floor,addr:housename,office,phone,start_date,wikidata,wikimedia_commons,wikipedia,survey:date,payment:via_tesla_app,socket:type2:power,socket:j1772,socket:type2:current,socket:type2:voltage,payment:tap_to_pay,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,parking,payment:via_app,socket:wall,url,network:wikidata,socket,indoor,branch,payment:cash,payment:coins,payment:mastercard,payment:visa,check_date,construction,payment:debit_cards,ele,payment:cards,payment:membership_card,payment:qr_code,not:operator:wikidata,socket:unknown,payment:apple_pay,man_made,socket:ccs:output
6294718962,-37.4438844,143.8905143,charging_station,,,,,RACV,,,,1,,2,no,,,,,J-1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6305536144,-33.9285142,151.186122,charging_station,,"Tesla, Inc.",Q478214,,,,,,,,,,,,338,King Street,Tesla Mascot King Street,Tesla,,,,,,,2020,NSW,,,,,,,,,,,,,,,,,,Mascot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6361470537,-33.9760165,150.8118548,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6361470538,-33.9760436,150.8118557,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6434871034,-35.5030219,138.7844823,charging_station,,"Tesla, Inc.",Q478214,Tesla Destination Charger,Tesla,,,,,,1,,,,,,Goolwa Visitor Information Centre - Destination Charging,Tesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456676767,-36.5870197,146.7592991,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,"Tesla, Inc.",Q478214,en:Tesla Supercharger,,,,,,,,,,Tesla Supercharger,Tesla,4,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456722833,-32.2499278,148.6091712,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,"Tesla, Inc.",Q478214,en:Tesla Supercharger,"en:Tesla, Inc.",,,,,,,,,Tesla Supercharger,Tesla,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456723747,-31.1016073,150.9171653,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,"Tesla, Inc.",Q478214,en:Tesla Supercharger,,,,,,,,,,,Tesla,4,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456731585,-37.9505279,145.080672,charging_station,,ChargePoint,Q5176149,ChargePoint,ChargePoint,Q5176149,,,,,,,,,,,Chargepoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456735006,-37.9214395,145.1577067,charging_station,,ChargePoint,Q5176149,,ChargePoint,Q5176149,en:ChargePoint,en:ChargePoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456735596,-37.8748303,145.165502,charging_station,,ChargePoint,Q5176149,,ChargePoint,Q5176149,en:ChargePoint,en:ChargePoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6460533136,-27.4517194,153.0404982,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,4,,,,,,Tesla Supercharger,Tesla,4,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6460563175,-28.0353737,153.4271031,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,"Tesla, Inc.",Q478214,en:Tesla Supercharger,,,,8,,,,,,Tesla Supercharger,Tesla,8,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6460580922,-28.7495635,153.5347035,charging_station,24/7,"Tesla, Inc.",Q478214,,"Tesla, Inc.",Q478214,en:Tesla Supercharger,"en:Tesla, Inc.",,,6,yes,,,,,Knockrow Supercharger,Tesla,6,120 kW,6,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6460587589,-31.4361396,152.8236754,charging_station,24/7,Tesla Supercharger,Q17089620,Tesla Supercharger,"Tesla, Inc.",Q478214,en:Tesla Supercharger,,,,6,yes,,,,,Port Macquarie Supercharger,Tesla,6,120 kW,6,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6460737186,-38.1433232,144.3612324,charging_station,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6460781765,-36.4160168,148.6197273,charging_station,,,,,NRMA,Q6955173,,,,,2,no,,,,,NRMA Fast Charger,,,,,,,,,,,,,,,,,,2,50 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
