,Landmark Name,Latitude,Longitude,Number of EV charger station,Name and distance of each station
36,Melbourne Childrens Court,-37.8125077646598,144.958298873269,36,"Lonsdale St: 232m, Bourke St: 300m, Secure Parking (450 Flinders Lane): 696m, Hyatt Centric Melbourne: 905m, Wilson Parking: 847m, Alto Hotel: 526m, Queen Victoria Market - Underground Carpark: 523m, Queen St: 521m, Holiday Inn Express Melbourne Little Collins: 650m, 300 Latrobe Street - Wilson Car Park: 345m, Lonsdale St: 463m, Lonsdale St: 63m, Flinders Ln: 679m, Rialto Car Park: 735m, Russell St: 830m, Russell St: 847m, Latrobe Street: 411m, West Melbourne: 694m, Wilson Parking: 300m, Secure Parking - 460 Lonsdale Street Car Park: 60m, Secure Parking (Southern Cross): 987m, Downie St: 889m, Southbank: 398m, Bourke St: 531m, Melbourne Central Carpark: 466m, Flagstaff City Inn: 690m, Lonsdale St: 757m, Secure Parking (300 Flinders St): 814m, Collins St: 648m, Queens & Collins: 473m, Flagstaff Car Park: 233m, Flinders Ln: 713m, Bourke St: 382m, Cellarbrations: 876m, Flinders St: 793m, QV Melbourne - Car Park: 757m, "
37,Etihad Stadium,-37.8161760471742,144.947496254547,21,"Lonsdale St: 801m, Bourke St: 801m, Hyatt Centric Melbourne: 868m, District Docklands Shopping - West Carpark: 997m, Docklands: 964m, Alto Hotel: 627m, Holiday Inn Express Melbourne Little Collins: 709m, Rialto Car Park: 946m, Docklands: 855m, Latrobe Street: 681m, West Melbourne: 742m, Wilson Parking: 802m, Docklands: 818m, Downie St: 838m, Southbank: 960m, Bourke St: 640m, Flagstaff City Inn: 742m, Collins St: 704m, Flagstaff Car Park: 801m, Flinders Ln: 947m, Cellarbrations: 720m, "
38,Eureka Skydeck 88,-37.8216187583314,144.964622218598,27,"South Melbourne: 966m, Secure Parking (450 Flinders Lane): 597m, Hyatt Centric Melbourne: 786m, Collins St: 882m, Holiday Inn Express Melbourne Little Collins: 920m, Flinders Ln: 622m, Holiday Inn Express Melbourne Southbank: 180m, Rialto Car Park: 676m, Crown Metropol Melbourne: 747m, Wilson Parking Eureka: 50m, Southbank: 244m, Flinders St: 818m, Southbank: 176m, Downie St: 811m, Southbank: 820m, Southbank: 93m, ACDC Garage: 810m, Secure Parking (300 Flinders St): 376m, Collins St: 926m, Queens & Collins: 688m, South Wharf: 950m, Grand Hyatt Melbourne: 875m, Federation Square Car Park: 727m, Flinders Ln: 678m, The Arts Centre: 294m, Bourke St: 786m, Flinders St: 402m, "
39,County Court Melbourne,-37.8132011619962,144.957734246387,35,"Lonsdale St: 160m, Bourke St: 208m, Secure Parking (450 Flinders Lane): 626m, Hyatt Centric Melbourne: 819m, Wilson Parking: 911m, Alto Hotel: 435m, Queen Victoria Market - Underground Carpark: 602m, Queen St: 599m, Holiday Inn Express Melbourne Little Collins: 560m, 300 Latrobe Street - Wilson Car Park: 436m, Lonsdale St: 535m, Lonsdale St: 44m, Flinders Ln: 607m, Rialto Car Park: 656m, Russell St: 889m, Russell St: 911m, Latrobe Street: 371m, West Melbourne: 684m, Wilson Parking: 208m, Secure Parking - 460 Lonsdale Street Car Park: 56m, Downie St: 801m, Southbank: 327m, Bourke St: 439m, Melbourne Central Carpark: 533m, Flagstaff City Inn: 680m, Lonsdale St: 828m, Secure Parking (300 Flinders St): 789m, Collins St: 557m, Queens & Collins: 449m, Flagstaff Car Park: 174m, Flinders Ln: 634m, Bourke St: 329m, Cellarbrations: 860m, Flinders St: 769m, QV Melbourne - Car Park: 828m, "
40,Sandridge Rail Bridge,-37.8201763042794,144.96298113724,35,"Lonsdale St: 972m, Bourke St: 830m, Secure Parking (450 Flinders Lane): 394m, Hyatt Centric Melbourne: 631m, Alto Hotel: 853m, Collins St: 852m, Holiday Inn Express Melbourne Little Collins: 723m, Lonsdale St: 979m, Lonsdale St: 893m, Flinders Ln: 418m, Holiday Inn Express Melbourne Southbank: 374m, Rialto Car Park: 486m, Crown Metropol Melbourne: 753m, Wilson Parking Eureka: 259m, Southbank: 402m, Flinders St: 826m, Wilson Parking: 830m, Southbank: 299m, Secure Parking - 460 Lonsdale Street Car Park: 891m, Downie St: 651m, Southbank: 605m, Southbank: 189m, ACDC Garage: 815m, Bourke St: 835m, Melbourne Central Carpark: 940m, Secure Parking (300 Flinders St): 231m, Collins St: 729m, Queens & Collins: 489m, South Wharf: 929m, Grand Hyatt Melbourne: 835m, Federation Square Car Park: 778m, Flinders Ln: 484m, The Arts Centre: 499m, Bourke St: 573m, Flinders St: 255m, "
41,Lincoln Square,-37.8027919689732,144.962760852233,11,"Melbourne Museum: 896m, Lygon Street Car park: 386m, Queen Victoria Market - Underground Carpark: 682m, Queen St: 689m, 300 Latrobe Street - Wilson Car Park: 825m, Lonsdale St: 956m, Carlton: 393m, Melbourne Central Carpark: 996m, Lonsdale St: 940m, QV Melbourne - Car Park: 939m, Carlton: 791m, "
42,Flemington Bridge Railway Station,-37.7881645889621,144.939277838304,0,N/a
43,Carlton Gardens South,-37.8060684577258,144.971266479841,19,"Melbourne Museum: 205m, Lygon Street Car park: 569m, Park Hyatt Melbourne: 779m, Wilson Parking: 655m, Collins St: 995m, Lonsdale St: 464m, Lonsdale St: 910m, Carlton: 564m, Russell St: 710m, Russell St: 655m, Secure Parking (Southern Cross): 726m, Parliament PI: 719m, Melbourne Central Carpark: 927m, Lonsdale St: 656m, Bourke St: 672m, Lonsdale St: 462m, Grand Hyatt Melbourne: 985m, QV Melbourne - Car Park: 656m, Carlton: 321m, "
44,Victoria Police,-37.8164849024046,144.966486801188,40,"Lonsdale St: 987m, Bourke St: 902m, Secure Parking (450 Flinders Lane): 715m, Park Hyatt Melbourne: 986m, Wilson Parking: 589m, Collins St: 359m, Lonsdale St: 768m, Holiday Inn Express Melbourne Little Collins: 995m, 300 Latrobe Street - Wilson Car Park: 883m, Lonsdale St: 630m, Lonsdale St: 819m, Flinders Ln: 727m, Holiday Inn Express Melbourne Southbank: 601m, Rialto Car Park: 832m, Russell St: 531m, Russell St: 589m, Wilson Parking Eureka: 594m, Southbank: 533m, Flinders St: 392m, Wilson Parking: 901m, Southbank: 476m, Secure Parking - 460 Lonsdale Street Car Park: 810m, Secure Parking (Southern Cross): 522m, Southbank: 709m, Southbank: 500m, ACDC Garage: 377m, Melbourne Central Carpark: 589m, Lonsdale St: 645m, Secure Parking (300 Flinders St): 293m, Collins St: 999m, Bourke St: 623m, Queens & Collins: 442m, Lonsdale St: 785m, Grand Hyatt Melbourne: 335m, Federation Square Car Park: 443m, Flinders Ln: 817m, The Arts Centre: 700m, Bourke St: 617m, Flinders St: 277m, QV Melbourne - Car Park: 645m, "
45,Royal Park Golf Course,-37.7819171308558,144.956309119368,0,N/a
46,Visy Park,-37.7834303940347,144.961982577553,0,N/a
